Concept,Run,Feature,Category
Snake,3,are_long,Animal
Snake,3,are_flexible,Animal
Snake,3,can_climb,Animal
Snake,3,can_swim,Animal
Snake,3,have_no_legs,Animal
Snake,3,have_no_arms,Animal
Snake,3,have_no_eyelids,Animal
Snake,3,have_tongues,Animal
Snake,3,have_forked_tongues,Animal
Snake,3,can_see,Animal
Snake,3,can_see_in_dark,Animal
Snake,3,can_go_long_time_without_food,Animal
Snake,3,can_go_long_time_without_water,Animal
Snake,3,have_skin,Animal
Snake,3,can_shed_skin,Animal
Snake,4,may_be_venomous,Animal
Snake,4,may_be_constrictors,Animal
Snake,4,may_swim,Animal
Snake,4,may_climb,Animal
Snake,4,may_burrow,Animal
Snake,4,may_glide,Animal
Snake,4,may_jump,Animal
Snake,4,have_faces,Animal
Snake,4,have_heat_sensitive_pits_on_faces,Animal
Snake,4,can_grow,Animal
Snake,4,can_grow_to_30_feet,Animal
Snake,4,is_alive,Animal
Snake,4,can_live_for_20_years,Animal
Snake,4,have_skin,Animal
Snake,4,can_shed_skin,Animal
Snake,4,can_eat,Animal
Snake,4,can_eat_other_snakes,Animal
Snake,4,may_be_carnivores,Animal
Snake,4,may_be_herbivores,Animal
Snake,4,may_be_omnivores,Animal
Snake,4,may_be_nocturnal,Animal
Snake,4,may_be_diurnal,Animal
Snake,4,may_be_crepusular,Animal
Snake,4,may_be_venomous,Animal
Snake,4,may_be_constrictor,Animal
Snake,5,are_carnivorous,Animal
Snake,5,have_bodies,Animal
Snake,5,are_long,Animal
Snake,5,are_cylindrical,Animal
Snake,5,have_no_limbs,Animal
Snake,5,have_scales,Animal
Snake,5,have_heads,Animal
Snake,5,have_narrow_heads,Animal
Snake,5,are_venomous,Animal
Snake,5,use_venom_to_kill_prey,Animal
Snake,5,found_on_every_continent_except_Antarctica,Animal
Snake,5,are_ectothermic,Animal
Snake,5,have_jaws,Animal
Snake,5,can_dislocate_jaws,Animal
Snake,5,can_swallow_prey,Animal
Snake,5,can_swallow_prey_larger_than_head,Animal
Snake,5,can_sense_heat,Animal
Snake,5,can_mate,Animal
Snake,5,can_mate_with_multiple_partners,Animal
Snake,5,give_live_birth,Animal
Snake,5,can_lay_eggs,Animal
Snake,5,can_regenerate_body_parts,Animal
Snake,5,are_predators,Animal
Snake,5,are_pray,Animal
Snake,5,have_many_habitats,Animal
Snake,5,may_be_conturnal,Animal
Snake,5,may_be_diurnal,Animal
Snake,5,may_be_solitary,Animal
Snake,5,may_be_social,Animal
Cobra,1,are_snakes,Animal
Cobra,1,are_limbless,Animal
Cobra,1,are_reptiles,Animal
Cobra,1,have_muscles,Animal
Cobra,1,can_move,Animal
Cobra,1,use_muscles_to_move,Animal
Cobra,1,move_in_wavelike_motion,Animal
Cobra,1,are_venomous,Animal
Cobra,1,are_deadly,Animal
Cobra,1,found_in_Africa,Animal
Cobra,1,found_in_Asia,Animal
Cobra,1,found_in_Australia,Animal
Cobra,1,vary_in_size,Animal
Cobra,1,can_grow_a_few_feet,Animal
Cobra,1,can_grow_to_20_feet,Animal
Cobra,1,may_be_King_cobra,Animal
Cobra,1,can_be_black,Animal
Cobra,1,can_be_brown,Animal
Cobra,1,can_be_olive,Animal
Cobra,1,can_be_tan,Animal
Cobra,1,can_be_white,Animal
Cobra,2,are_long,Animal
Cobra,2,are_thin,Animal
Cobra,2,are_snakes,Animal
Cobra,2,have_head,Animal
Cobra,2,have_large_head,Animal
Cobra,2,found_in_Africa,Animal
Cobra,2,found_in_Asia,Animal
Cobra,2,found_in_Australia,Animal
Cobra,2,are_dangerous,Animal
Cobra,3,are_venomous,Animal
Cobra,3,are_snakes,Animal
Cobra,3,can_spit_venom,Animal
Cobra,3,have_hoods,Animal
Cobra,3,found_in_Africa,Animal
Cobra,3,found_in_Asia,Animal
Cobra,4,are_venomous,Animal
Cobra,4,are_snakes,Animal
Cobra,4,found_in_Africa,Animal
Cobra,4,found_in_Asia,Animal
Cobra,4,found_in_Australia,Animal
Cobra,4,are_dangerous,Animal
Cobra,4,are_deadly,Animal
Cobra,4,can_grow,Animal
Cobra,4,can_grow_to_6_feet,Animal
Cobra,4,have_hoods,Animal
Cobra,4,open_hood_when_threatened,Animal
Cobra,4,can_spit_venom,Animal
Cobra,4,are_carnivorous,Animal
Cobra,4,can_eat_small_mammals,Animal
Cobra,4,can_eat_small_birds,Animal
Cobra,4,can_eat_small_reptiles,Animal
Cobra,5,are_venomous,Animal
Cobra,5,are_snakes,Animal
Cobra,5,found_in_Africa,Animal
Cobra,5,found_in_Asia,Animal
Cobra,5,found_in_Australia,Animal
Cobra,5,can_grow,Animal
Cobra,5,can_grow_to_10_feet,Animal
Cobra,5,can_spit_venom,Animal
Cobra,5,can_kill,Animal
Cobra,5,can_bite,Animal
Cobra,5,have_hoods,Animal
Cobra,5,open_hood_when_threatened,Animal
Cobra,5,open_hood_when_angry,Animal
Cobra,5,can_feel_angry,Animal
Cobra,5,can_feel_threatened,Animal
Cobra,5,can_feel_shy,Animal
Cobra,5,avoid_humans,Animal
