1, dog, cat, mouse, rat, snake, lizard, turtle, frog, toad, newt, salamander, bird, fish, whale, dolphin, shark, squid, octopus, crab, lobster, shrimp, oyster, clams, scallops, mussels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12, cat, dog, lion, tiger, bear, snake, deer, rabbit, shrimp, bird,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13, Pig, cow, chicken, turkey, duck, horse, sheep, goat, monkey, chimpanzee, gorilla, lemur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14, dog, cat, rabbit, hamster, gerbil, mouse, snake, lizard, turtle, frog, toad, goldfish, betta, shark, whale, dolphin, bird, chicken, duck, goose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15, ant, bear, cat, dog, elephant, frog, giraffe, hippopotamus, horse, lion, monkey, mouse, snake, zebra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16, elephant, lion, tiger, leopard, jaguar, panther, cheetah, cougar, lynx, bobcat, ocelot, serval, caracal, domestic cat, bear, Panda, koala, monkey, chimpanzee, gorilla, orangutan, gibbon, lemur, tamarin, marmoset, capuchin, macaque, baboon, vervet, howler, langur, colobus, chimpanzee, gorilla, orangutan, human, dog, cat, horse, donkey, mule, zebra, tapir, rhinoceros, hippopotamus, giraffe, camel, alpaca, llama, guanaco, vicuna, bison, buffalo, yak, ox, water buffalo, musk ox, eland, antelope, gazelle, deer, moose, elk, caribou, reindeer, pronghorn, sheep, lamb, goat, kid, ibex, markhor, wildebeest, impala, hartebeest, blesbok, waterbuck, bushbuck, reedbuck, kudu, eland, hartebeest, topi,,,,
17, dog, cat, snake, rat, bat, spider, mosquito, deer, rabbit, squirrel, fox, bird, eagle, fly, lobster, crab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18, lion, tiger, bear, zebra, giraffe, elephant, monkey, ape, chimpanzee, gorilla, orangutan, kangaroo, koala, lemur, wombat, opossum, armadillo, sloth, anteater, pangolin, rhinoceros, hippopotamus, buffalo, bison, ox, cow, steer, bull, horse, zebra, donkey, mule, camel, llama, alpaca, vicuna, guanaco, ostrich, rhea, emu, cassowary, kiwi, rhea, weka, takahe, penguin, albatross, petrel, frigatebird, booby, pelican, stork, heron, egret, ibis, gull, tern, skua, sandpiper, plover, lapwing, woodcock, snipe, kingfisher, bee-eater, hornbill, toucan, parrot, macaw, cockatoo, cockatiel, lovebird, canary, parakeet, budgerigar, finch, sparrow, warbler, wren, thrush, robin, flycatcher,,,,,
19, cat, dog, horse, elephant, giraffe, zebra, lion, tiger, bear, leopard, panther, cheetah, lynx, cougar, monkey, ape, gorilla, chimpanzee, orangutan, rhinoceros, hippopotamus, gazelle, deer, sheep, lamb, cow, buffalo, bison, elk, moose, rabbit, squirrel, chipmunk, beaver, raccoon, opossum, skunk, armadillo, sloth, echidna, platypus, anteater, kangaroo, wallaby, koala, wombat, Tasmanian devil, eel, tuna, salmon, trout, shark, whale, dolphin, porpoise, oyster, crab, lobster, shrimp, snail, octopus, squid, jellyfish, clam, scallop, abalone, oyster, mussel,,,,,,,,,,,,,,,,,,,
20, Bats, bears, birds, bobcats, buffalo, cougars, deer, dogs, dolphins, ducks, eagles, elephants, elk, foxes, frogs, geese, goats, hawks, horses, lions, monkeys, moose, mice, owls, pigs, rabbits, raccoons, sheep, snakes, tigers, wolves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,  dog, cat, mouse, rat, gerbil, hamster, bird, snake, lizard, turtle, rabbit, frog, toad, fish, whale, shark, dolphin, octopus, squid, crab, lobster, shrimp, snail, slug, insect, ant, bee, fly, beetle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,  cat, dog, lion, tiger, bear, elephant, rhinoceros, hippopotamus, gazelle, deer, rabbit, zebra, giraffe, camel, monkey, ape, orangutan, gorilla, chimpanzee, koala, kangaroo, lemur, wombat, echidna, platypus, armadillo, sloth, opossum, anteater, pangolin, porcupine, beaver, badger, weasel, otter, raccoon, skunk, hyena, jackal, wolf, coyote, fox, lynx, bobcat, cougar, cheetah, jaguar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23, cat, dog, hamster, gerbil, rabbit, snake, turtle, fish, bird, horse, cow, sheep, goat, llama, alpaca, elephant, rhinoceros, zebra, lemur, monkey, chimpanzee, gorilla, orangutan, kangaroo, koala, opossum, wombat, echidna, platypus, anteater, sloth, armadillo, possum, opossum, raccoon, skunk, badger, otter, weasel, ferret, stoat, otter, beaver, chipmunk, squirrel, prairie dog, marmot, groundhog, gopher, woodchuck, prairie dog, chipmunk, chinchilla, porcupine, guinea pig, hamster, gerbil, mouse, rat, vole, dormouse, lemming, jerboa, kangaroo rat, beaver, mouse, deer, moose, elk, caribou, bison, buffalo, yak, musk ox, antelope, gazelle, eland, impala, blesbok, waterbuck, kudu, hartebeest,,,,,
24, dog, cat, lion, elephant, hippo, rhino, zebra, giraffe, bear, koala, monkey, chimpanzee, gorilla, snake, turtle, lizard, crocodile, alligator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25, dog, cat, Hamster, gerbil, snake, lizard, turtle, rabbit, frog, toad, bird, fish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26, dog, cat, elephant, giraffe, lion, tiger, zebra, hippopotamus, rhinoceros, chimpanzee, gorilla, orangutan, koala, kangaroo, lemur, wallaby, opossum, wombat, echidna, platypus, armadillo, sloth, anteater, aardvark, hyena, jackal, coyote, fox, raccoon, badger, otter, weasel, ferret, mink, polecat, stoat, ermine, otter, beaver, rabbit, hare, pig, wild boar, boar, warthog, water buffalo, bison, yak, bighorn sheep, pronghorn, gazelle, deer, moose, elk, caribou, reindeer, camel, llama, alpaca, vicuna, guanaco, dromedary camel, llama, sheep, ram, ewe, lamb, goat, kid, billy, nanny, ibex, markhor, impala, eland, kudu, hartebeest, wildebeest, gnu, zebra, quagga,,,,,,
27, cat, dog, horse, cow, pig, sheep, goat, chicken, duck, turkey, rabbit, mouse, gerbil, hamster, guinea pig, ferret, lizard, snake, turtle, frog, toad, newt, salamander, fish, whale, dolphin, shark, octopus, squid, crab, lobster, shrimp, oyster, clams, scallops, mussels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28, Cows, pigs, chickens, turkeys, ducks, geese, sheep, goats, llamas, alpacas, rabbits, guinea pigs, horses, donkeys, mules, cats, dogs, ferrets, rats, mice, gerbils, hamsters, birds, snakes, turtles, lizards, frogs, toads, newts, salamanders, fish, sharks, whales, dolphins, bees, wasps, ants, spiders, scorpions, beetles, flies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29, dog, cat, hamster, gerbil, rabbit, snake, lizard, turtle, bird, fish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30, cat, dog, cow, sheep, chicken, duck, goose, turkey, horse, rabbit, squirrel, gerbil, hamster, guinea pig, ferret, rats, mice, snake, lizard, turtle, frog, toad, newt, salamander, whale, dolphin, shark, ray, fish, crab, lobster, shrimp, oyster, clams, scallops, mussels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
